symbol,date,entry_price,exit_date,exit_price,return,is_complete,in_optimal_zone,prev_weekly_red,prev_weekly_large_bottom_wick,prev_atr_declining,vol_spike,sector
ORCL,2025-11-25 05:00:00,197.03,2026-01-09 05:00:00,199.445,0.012257016697964751,False,False,True,True,False,False,Tech
ORCL,2025-12-15 05:00:00,184.92,2026-01-09 05:00:00,199.445,0.0785474799913477,False,False,False,False,True,False,Tech
ORCL,2025-12-17 05:00:00,178.46,2026-01-09 05:00:00,199.445,0.11758937577048068,False,False,False,False,True,False,Tech
ADBE,2025-03-13 04:00:00,377.84,2026-01-09 05:00:00,333.51,-0.11732479356341308,False,True,True,True,True,True,Tech
ADBE,2025-04-03 04:00:00,367.25,2026-01-09 05:00:00,333.51,-0.09187202178352627,False,True,True,False,True,False,Tech
ADBE,2025-04-04 04:00:00,349.07,2026-01-09 05:00:00,333.51,-0.04457558655856997,False,True,True,False,True,False,Tech
ADBE,2025-04-07 04:00:00,340.7,2026-01-09 05:00:00,333.51,-0.021103610214264767,False,True,True,False,True,False,Tech
ADBE,2025-04-08 04:00:00,340.0,2026-01-09 05:00:00,333.51,-0.019088235294117628,False,True,True,False,True,False,Tech
ADBE,2025-08-01 04:00:00,347.8,2026-01-09 05:00:00,333.51,-0.041086831512363475,False,False,False,True,True,False,Tech
ADBE,2025-08-04 04:00:00,338.85,2026-01-09 05:00:00,333.51,-0.015759185480301086,False,False,False,False,True,False,Tech
ADBE,2025-08-05 04:00:00,338.74,2026-01-09 05:00:00,333.51,-0.015439570171813188,False,False,False,False,True,False,Tech
ADBE,2025-08-07 04:00:00,338.27,2026-01-09 05:00:00,333.51,-0.014071599609779106,False,False,False,False,True,False,Tech
ADBE,2025-08-11 04:00:00,333.65,2026-01-09 05:00:00,333.51,-0.0004196013786902375,False,False,True,False,False,False,Tech
ADBE,2025-11-20 05:00:00,312.4,2026-01-09 05:00:00,333.51,0.067573623559539,False,False,True,False,True,False,Tech
WFC,2025-04-04 04:00:00,60.98,2026-01-09 05:00:00,95.73,0.569858970154149,False,False,False,False,True,False,Finance
WFC,2025-04-07 04:00:00,62.17,2026-01-09 05:00:00,95.73,0.5398101978446197,False,False,True,False,False,True,Finance
WFC,2025-04-08 04:00:00,62.08,2026-01-09 05:00:00,95.73,0.542042525773196,False,False,True,False,False,False,Finance
NOW,2025-02-24 05:00:00,185.516,2026-01-09 05:00:00,141.87,-0.23526811703572736,False,False,True,True,True,False,Tech
